iter	Passed	Remaining
0	172	86055
1	264	65786
2	350	58119
3	440	54654
4	524	51956
5	615	50669
6	719	50692
7	801	49313
8	884	48272
9	968	47446
10	1052	46783
11	1143	46521
12	1236	46324
13	1348	46829
14	1436	46461
15	1528	46224
16	1615	45891
17	1707	45726
18	1808	45772
19	1916	45991
20	2017	46026
21	2104	45733
22	2190	45430
23	2279	45214
24	2372	45083
25	2472	45084
26	2560	44862
27	2648	44641
28	2731	44360
29	2834	44405
30	2925	44261
31	3010	44027
32	3092	43759
33	3178	43560
34	3257	43277
35	3337	43011
36	3418	42773
37	3496	42507
38	3577	42291
39	3658	42070
40	3734	41806
41	3811	41566
42	3891	41354
43	3971	41159
44	4048	40930
45	4132	40789
46	4209	40574
47	4292	40422
48	4369	40218
49	4446	40016
50	4525	39843
51	4607	39699
52	4689	39554
53	4767	39374
54	4845	39208
55	4924	39041
56	5004	38892
57	5093	38815
58	5179	38717
59	5261	38586
60	5346	38479
61	5430	38365
62	5509	38218
63	5587	38061
64	5669	37944
65	5755	37847
66	5837	37726
67	5921	37619
68	6002	37495
69	6087	37392
70	6171	37287
71	6249	37148
72	6328	37014
73	6404	36866
74	6488	36766
75	6565	36629
76	6642	36493
77	6719	36352
78	6798	36231
79	6878	36113
80	6955	35979
81	7031	35845
82	7113	35740
83	7193	35624
84	7271	35501
85	7349	35378
86	7425	35247
87	7500	35116
88	7585	35029
89	7662	34908
90	7745	34810
91	7837	34758
92	7919	34658
93	8005	34576
94	8089	34485
95	8167	34370
96	8251	34281
97	8331	34175
98	8412	34076
99	8495	33981
100	8579	33894
101	8659	33790
102	8873	34203
103	8960	34117
104	9039	34006
105	9118	33893
106	9242	33947
107	9319	33827
108	9398	33715
109	9477	33603
110	9555	33488
111	9634	33378
112	9711	33259
113	9796	33170
114	9872	33051
115	9949	32935
116	10027	32825
117	10103	32708
118	10187	32616
119	10271	32526
120	10354	32431
121	10433	32326
122	10513	32224
123	10597	32134
124	10675	32026
125	10751	31914
126	10829	31806
127	10907	31700
128	10985	31594
129	11072	31515
130	11154	31418
131	11232	31314
132	11313	31217
133	11391	31114
134	11469	31009
135	11554	30925
136	11636	30833
137	11720	30745
138	11797	30639
139	11874	30534
140	11951	30430
141	12028	30324
142	12103	30217
143	12179	30111
144	12259	30014
145	12335	29909
146	12411	29805
147	12496	29721
148	12573	29619
149	12654	29528
150	12732	29427
151	12808	29325
152	12886	29226
153	12970	29140
154	13051	29050
155	13128	28949
156	13204	28848
157	13280	28746
158	13356	28644
159	13432	28543
160	13510	28446
161	13586	28346
162	13662	28247
163	13739	28149
164	13819	28058
165	13898	27964
166	13978	27873
167	14057	27780
168	14135	27684
169	14215	27594
170	14302	27517
171	14382	27426
172	14466	27343
173	14542	27246
174	14619	27149
175	14695	27053
176	14772	26956
177	14851	26866
178	14933	26780
179	15012	26688
180	15091	26598
181	15169	26505
182	15255	26425
183	15336	26339
184	15419	26254
185	15496	26161
186	15576	26071
187	15654	25979
188	15732	25887
189	15816	25806
190	15896	25716
191	15977	25630
192	16057	25541
193	16142	25461
194	16227	25381
195	16304	25288
196	16383	25199
197	16462	25109
198	16553	25037
199	16631	24947
200	16712	24860
201	16796	24778
202	16875	24690
203	16957	24604
204	17033	24511
205	17110	24420
206	17193	24336
207	17275	24252
208	17353	24161
209	17431	24071
210	17507	23979
211	17584	23888
212	17662	23798
213	17741	23710
214	17820	23622
215	17899	23534
216	17980	23449
217	18057	23358
218	18137	23272
219	18216	23184
220	18294	23095
221	18372	23006
222	18450	22918
223	18527	22828
224	18604	22738
225	18685	22653
226	18766	22569
227	18845	22482
228	18929	22401
229	19009	22315
230	19091	22231
231	19173	22149
232	19295	22110
233	19377	22027
234	19472	21957
235	19565	21887
236	19651	21807
237	19730	21720
238	19812	21636
239	19891	21548
240	19970	21461
241	20048	21374
242	20130	21290
243	20218	21212
244	20312	21141
245	20389	21052
246	20470	20968
247	20550	20881
248	20632	20797
249	20707	20707
250	20787	20621
251	20868	20537
252	20946	20449
253	21027	20365
254	21112	20284
255	21205	20211
256	21283	20124
257	21367	20042
258	21450	19959
259	21529	19873
260	21605	19784
261	21687	19700
262	21765	19613
263	21841	19525
264	21919	19437
265	22000	19353
266	22080	19268
267	22165	19187
268	22245	19103
269	22327	19019
270	22407	18934
271	22488	18850
272	22568	18765
273	22670	18698
274	22777	18635
275	22873	18563
276	22952	18478
277	23043	18401
278	23123	18316
279	23226	18249
280	23307	18164
281	23387	18079
282	23467	17994
283	23544	17906
284	23623	17821
285	23699	17733
286	23781	17650
287	23860	17564
288	23942	17480
289	24020	17393
290	24096	17306
291	24176	17221
292	24252	17134
293	24328	17046
294	24405	16959
295	24481	16872
296	24562	16788
297	24643	16704
298	24720	16618
299	24805	16536
300	24882	16450
301	24960	16365
302	25037	16278
303	25113	16191
304	25189	16104
305	25265	16018
306	25346	15934
307	25426	15850
308	25506	15766
309	25586	15681
310	25668	15598
311	25744	15512
312	25822	15427
313	25898	15341
314	25975	15255
315	26051	15169
316	26132	15085
317	26208	14999
318	26287	14915
319	26365	14830
320	26443	14745
321	26519	14659
322	26598	14575
323	26674	14489
324	26752	14405
325	26829	14319
326	26905	14234
327	26981	14148
328	27064	14067
329	27141	13981
330	27217	13896
331	27294	13811
332	27370	13726
333	27449	13642
334	27535	13562
335	27611	13477
336	27691	13394
337	27772	13311
338	27855	13229
339	27935	13146
340	28013	13062
341	28095	12979
342	28175	12896
343	28269	12819
344	28385	12752
345	28468	12670
346	28550	12588
347	28636	12507
348	28716	12424
349	28796	12341
350	28877	12258
351	28958	12175
352	29038	12092
353	29118	12009
354	29198	11926
355	29275	11841
356	29353	11757
357	29429	11673
358	29505	11588
359	29588	11506
360	29664	11422
361	29746	11339
362	29825	11256
363	29901	11171
364	29979	11088
365	30057	11004
366	30139	10922
367	30217	10839
368	30293	10754
369	30373	10671
370	30449	10587
371	30524	10502
372	30608	10421
373	30694	10341
374	30772	10257
375	30854	10175
376	30936	10093
377	31027	10014
378	31119	9935
379	31202	9853
380	31278	9769
381	31354	9685
382	31430	9601
383	31511	9519
384	31593	9437
385	31671	9353
386	31757	9272
387	31845	9192
388	31921	9108
